Site,Category,Product,Quantity,Sales,Status
Demo Store 01,Beverages,Cola 20oz,46,806.38,Active
Demo Store 01,Beverages,Energy Drink,103,949.66,Active
Demo Store 01,Beverages,Bottled Water,188,2838.8,Active
Demo Store 01,Beverages,Iced Coffee,61,822.89,Active
Demo Store 01,Snacks,Potato Chips,10,144.5,Active
Demo Store 01,Snacks,Chocolate Bar,131,757.18,Active
Demo Store 01,Snacks,Trail Mix,232,1800.32,Active
Demo Store 01,Snacks,Beef Jerky,217,4303.11,Active
Demo Store 01,Tobacco,Cigarettes Pack,196,1297.52,Active
Demo Store 01,Tobacco,Cigar Single,157,2084.96,Active
Demo Store 01,Tobacco,Vape Pod,0,0.0,No Movement
Demo Store 01,Grocery,Bread Loaf,0,0.0,No Movement
Demo Store 01,Grocery,Canned Soup,0,0.0,No Movement
Demo Store 01,Grocery,Pasta 1lb,75,573.0,Active
Demo Store 01,Grocery,Cooking Oil,96,1734.72,Active
Demo Store 01,Frozen,Ice Cream Tub,17,177.99,Active
Demo Store 01,Frozen,Frozen Pizza,190,3425.7,Active
Demo Store 01,Frozen,Frozen Burrito,55,993.3,Active
Demo Store 01,Dairy,Milk Gallon,236,877.92,Active
Demo Store 01,Dairy,Cheese Block,237,578.28,Active
Demo Store 01,Dairy,Yogurt Cup,42,200.76,Active
Demo Store 01,Automotive,Motor Oil 1qt,131,1632.26,Active
Demo Store 01,Automotive,Windshield Fluid,24,112.8,Active
Demo Store 01,Automotive,Air Freshener,57,405.27,Active
Demo Store 01,Health & Beauty,Pain Reliever,150,1126.5,Active
Demo Store 01,Health & Beauty,Hand Sanitizer,63,481.32,Active
Demo Store 01,Health & Beauty,Lip Balm,36,212.4,Active
Demo Store 02,Beverages,Cola 20oz,197,1985.76,Active
Demo Store 02,Beverages,Energy Drink,50,295.5,Active
Demo Store 02,Beverages,Bottled Water,139,2201.76,Active
Demo Store 02,Beverages,Iced Coffee,96,849.6,Active
Demo Store 02,Snacks,Potato Chips,129,2052.39,Active
Demo Store 02,Snacks,Chocolate Bar,206,2200.08,Active
Demo Store 02,Snacks,Trail Mix,103,1088.71,Active
Demo Store 02,Snacks,Beef Jerky,28,387.8,Active
Demo Store 02,Tobacco,Cigarettes Pack,0,0.0,No Movement
Demo Store 02,Tobacco,Cigar Single,168,2056.32,Active
Demo Store 02,Tobacco,Vape Pod,129,279.93,Active
Demo Store 02,Grocery,Bread Loaf,56,830.48,Active
Demo Store 02,Grocery,Canned Soup,201,2552.7,Active
Demo Store 02,Grocery,Pasta 1lb,214,1114.94,Active
Demo Store 02,Grocery,Cooking Oil,223,1763.93,Active
Demo Store 02,Frozen,Ice Cream Tub,244,907.68,Active
Demo Store 02,Frozen,Frozen Pizza,85,203.15,Active
Demo Store 02,Frozen,Frozen Burrito,162,1205.28,Active
Demo Store 02,Dairy,Milk Gallon,0,0.0,No Movement
Demo Store 02,Dairy,Cheese Block,208,4031.04,Active
Demo Store 02,Dairy,Yogurt Cup,161,473.34,Active
Demo Store 02,Automotive,Motor Oil 1qt,206,1907.56,Active
Demo Store 02,Automotive,Windshield Fluid,151,2278.59,Active
Demo Store 02,Automotive,Air Freshener,124,1080.04,Active
Demo Store 02,Health & Beauty,Pain Reliever,205,1728.15,Active
Demo Store 02,Health & Beauty,Hand Sanitizer,234,4607.46,Active
Demo Store 02,Health & Beauty,Lip Balm,179,2944.55,Active
Demo Store 03,Beverages,Cola 20oz,56,515.76,Active
Demo Store 03,Beverages,Energy Drink,185,795.5,Active
Demo Store 03,Beverages,Bottled Water,182,1969.24,Active
Demo Store 03,Beverages,Iced Coffee,111,1956.93,Active
Demo Store 03,Snacks,Potato Chips,212,1596.36,Active
Demo Store 03,Snacks,Chocolate Bar,165,473.55,Active
Demo Store 03,Snacks,Trail Mix,162,2724.84,Active
Demo Store 03,Snacks,Beef Jerky,235,3870.45,Active
Demo Store 03,Tobacco,Cigarettes Pack,158,2869.28,Active
Demo Store 03,Tobacco,Cigar Single,127,2171.7,Active
Demo Store 03,Tobacco,Vape Pod,0,0.0,No Movement
Demo Store 03,Grocery,Bread Loaf,119,1856.4,Active
Demo Store 03,Grocery,Canned Soup,28,173.6,Active
Demo Store 03,Grocery,Pasta 1lb,109,1136.87,Active
Demo Store 03,Grocery,Cooking Oil,170,2439.5,Active
Demo Store 03,Frozen,Ice Cream Tub,0,0.0,No Movement
Demo Store 03,Frozen,Frozen Pizza,248,1125.92,Active
Demo Store 03,Frozen,Frozen Burrito,57,1033.41,Active
Demo Store 03,Dairy,Milk Gallon,86,973.52,Active
Demo Store 03,Dairy,Cheese Block,31,368.9,Active
Demo Store 03,Dairy,Yogurt Cup,212,913.72,Active
Demo Store 03,Automotive,Motor Oil 1qt,117,456.3,Active
Demo Store 03,Automotive,Windshield Fluid,178,3180.86,Active
